LoanID,IssuDate,FinalDate,LoanAmount,InterestRate,DTI,TotalRecPrncp,Recoveries,Installment,TermInMonths,LoanDetailsID,DisbursementID,BorrowerID,BranchID
45,1/12/2011,1/12/2015,6000,6.03,5.34,6000,0,182.62,36,45,1,1069469,B5
46,1/12/2011,1/12/2015,14000,9.91,10,14000,0,451.15,36,46,1,1051117,B2
47,1/12/2011,1/12/2015,5000,8.9,16.33,4217.38,107,158.77,36,47,1,1069465,B20
48,1/12/2011,1/12/2015,10000,10.65,11.47,10000,0,325.74,36,48,1,1069283,B14
49,1/12/2011,1/12/2015,10000,6.03,12.74,10000,0,304.36,36,49,1,1069287,B9
50,1/12/2011,1/12/2015,11000,6.62,10.85,11000,0,337.75,36,50,1,1069453,B10
51,1/12/2011,1/12/2015,15000,9.91,9.12,13556.45,222.81,483.38,36,51,1,1069248,B14
52,1/12/2011,1/12/2015,25600,9.91,15.71,25600,0,824.96,36,52,1,1068120,B3
53,1/12/2011,1/12/2015,7000,10.65,7.38,7000,0,228.02,36,53,1,1069244,B2
54,1/12/2011,1/12/2015,12000,15.96,20.88,1903.66,578.94,421.65,36,54,1,1069243,B21
55,1/12/2011,1/12/2015,12000,9.91,8.11,12000,0,386.7,36,55,2,1069238,B22
56,1/12/2011,1/12/2015,21000,19.91,21.58,8990.81,0,555.33,60,56,1,1069410,B14
57,1/12/2011,1/12/2015,16000,19.91,20.52,16000,0,423.11,60,57,1,1068409,B23
58,1/12/2011,1/12/2015,10000,12.42,18.58,10000,0,334.16,36,58,1,1068487,B14
59,1/12/2011,1/12/2015,10000,10.65,19.14,10000,0,325.74,36,59,1,1043961,B15
60,1/12/2011,1/12/2015,7100,16.77,24,7100,0,252.33,36,60,1,1068945,B1
61,1/12/2011,1/12/2015,13000,12.69,13.72,13000,0,293.74,60,61,1,1069142,B24
62,1/12/2011,1/12/2015,17500,17.27,19.47,6487.75,0,223.74,60,62,1,1068934,B14
63,1/12/2011,1/12/2015,17675,14.65,16.46,17675,0,417.25,60,63,1,1069136,B17
64,1/12/2011,1/12/2015,8000,16.77,21.64,8000,0,284.31,36,64,2,1068923,B2
65,1/12/2011,1/12/2015,10000,10.65,21.73,5495.38,847.3,215.69,60,65,1,1069126,B3
66,1/12/2011,1/12/2015,3500,10.65,5.39,3500,0,114.01,36,66,1,1069102,B22
67,1/12/2011,1/12/2015,12500,17.27,13.16,2812.82,22.5,223.11,60,67,1,1069093,B22
68,1/12/2011,1/12/2015,16425,14.27,22.71,16425,0,563.53,36,68,1,1069030,B22
69,1/12/2011,1/12/2015,8200,21.28,12.48,1525.83,381.89,223.14,60,69,1,1068906,B17
70,1/12/2011,1/12/2015,15000,14.65,11.88,15000,0,517.42,36,70,1,1069073,B10
71,1/12/2011,1/12/2015,20975,17.58,18.79,13575,0,341.63,60,71,1,1069043,B14
72,1/12/2011,1/12/2015,6400,16.77,20.22,3334.25,10.29,227.45,36,72,2,1060981,B25
73,1/12/2011,1/12/2015,3000,13.49,18.11,3000,0,101.8,36,73,1,1069071,B26
74,1/12/2011,1/12/2015,12000,16.77,20.57,12000,0,426.47,36,74,2,1069070,B5
75,1/12/2011,1/12/2015,14400,8.9,14.85,14400,0,457.25,36,75,2,1068893,B22
76,1/12/2011,1/12/2015,12000,14.65,16.56,12000,0,413.94,36,76,1,1068882,B14
77,1/12/2011,1/12/2015,11000,13.49,21.82,11000,0,373.24,36,77,1,1069039,B1
78,1/12/2011,1/12/2015,7250,21.67,24.82,7200,0,197.51,60,78,1,1068416,B2
79,1/12/2011,1/12/2015,15000,7.9,9.65,15000,0,469.36,36,79,1,1068997,B12
80,1/12/2011,1/12/2015,18000,19.91,6.81,18000,0,475.99,60,80,1,1048390,B19
81,1/12/2011,1/12/2015,35000,17.27,7.51,22075,0,551.84,60,81,1,1068994,B27
82,1/12/2011,1/12/2015,10000,14.27,15.39,10000,0,343.09,36,82,1,1068475,B10
83,1/12/2011,1/12/2015,11800,12.69,9.86,11800,0,395.83,36,83,2,1068989,B14
84,1/12/2011,1/12/2015,4500,6.03,4.44,4500,0,136.96,36,84,2,1068967,B24
85,1/12/2011,1/12/2015,7000,12.69,11.35,7000,0,234.82,36,85,1,1068744,B27
86,1/12/2011,1/12/2015,9200,12.42,19.96,9200,0,307.43,36,86,2,1045509,B14
87,1/12/2011,1/12/2015,14000,17.27,6.34,10157.6,0,349.98,60,87,1,1063958,B12
88,1/12/2011,1/12/2015,4500,10.65,5.4,4500,0,97.06,60,88,1,1041756,B14
89,1/12/2011,1/12/2015,12000,16.29,16.85,12000,0,423.61,36,89,1,1068694,B3
90,1/12/2011,1/12/2015,12000,13.49,21.33,12000,0,407.17,36,90,1,1068792,B12
91,1/12/2011,1/12/2015,12000,10.65,23.94,12000,0,390.88,36,91,1,1068558,B14
92,1/12/2011,1/12/2015,7000,10.65,5.38,7000,0,228.02,36,92,1,1068322,B14
93,1/12/2011,1/12/2015,8200,19.42,2.8,8200,0,214.62,60,93,1,1065674,B14
94,1/12/2011,1/12/2015,10500,12.69,20.73,10500,0,352.23,36,94,2,1068547,B10
95,1/12/2011,1/12/2015,7000,11.71,21.01,7000,0,231.54,36,95,1,1068545,B14
96,1/12/2011,1/12/2015,15300,22.06,20.58,10776.09,0,423.1,60,96,1,1068575,B23
97,1/12/2011,1/12/2015,20000,11.71,10.04,12800,0,282.86,60,97,1,1049528,B28
98,1/12/2011,1/12/2015,17500,17.27,21.31,3077.85,3486,437.47,60,98,1,1068542,B20
99,1/12/2011,1/12/2015,3500,6.03,2.31,3500,0,106.53,36,99,1,1068350,B5
100,1/12/2011,1/12/2015,6000,12.69,13.66,4472.4,0,135.57,60,100,1,1067874,B2
101,1/12/2011,1/12/2015,6200,9.91,20.64,1700.79,258.27,199.8,36,101,1,1068509,B27
102,1/12/2011,1/12/2015,16000,17.58,15.56,11584.03,0,402.65,60,102,2,1034693,B7
103,1/12/2011,1/12/2015,6000,8.9,13.17,6000,0,190.52,36,103,1,1068508,B11
104,1/12/2011,1/12/2015,7200,9.91,6.12,7200,0,232.02,36,104,2,1066641,B6
105,1/12/2011,1/12/2015,9500,8.9,8.18,9500,0,301.66,36,105,1,1068315,B5
106,1/12/2011,1/12/2015,18825,16.77,23.18,8087.75,3343.79,465.53,60,106,1,1068309,B11
107,1/12/2011,1/12/2015,24000,10.65,14.8,24000,0,781.76,36,107,1,1068326,B22
108,1/12/2011,1/12/2015,6000,13.49,11.58,6000,0,203.59,36,108,1,1066767,B5
109,1/12/2011,1/12/2015,6000,13.49,15.38,6000,0,203.59,36,109,1,1068484,B14
110,1/12/2011,1/12/2015,2100,12.42,19.72,2100,0,70.18,36,110,1,1068292,B22
111,1/12/2011,1/12/2015,5500,6.62,9.69,5500,0,168.88,36,111,2,1068273,B10
112,1/12/2011,1/12/2015,11000,6.62,20.5,11000,0,337.75,36,112,1,1068274,B29
113,1/12/2011,1/12/2015,26800,20.89,12.15,26800,0,723.38,60,113,1,1068440,B2
114,1/12/2011,1/12/2015,8000,12.69,10.05,8000,0,268.36,36,114,2,1046456,B27
115,1/12/2011,1/12/2015,10000,18.25,24.14,8320.22,229.06,362.78,36,115,1,1068012,B1
116,1/12/2011,1/12/2015,8000,11.71,9.7,8000,0,264.61,36,116,1,1055725,B30
117,1/12/2011,1/12/2015,10000,8.9,7,10000,0,317.54,36,117,1,1061814,B31
118,1/12/2011,1/12/2015,12000,11.71,13.32,12000,0,396.92,36,118,2,1068232,B7
119,1/12/2011,1/12/2015,10000,7.9,25.26,10000,0,312.91,36,119,1,1068405,B20
120,1/12/2011,1/12/2015,12000,9.91,16.44,12000,0,386.7,36,120,1,1068395,B22
121,1/12/2011,1/12/2015,25000,13.49,14.15,13833.2,2010.58,575.12,60,121,1,1068202,B14
122,1/12/2011,1/12/2015,19750,10.65,22.8,8590.58,641.29,643.33,36,122,1,1068006,B16
123,1/12/2011,1/12/2015,10000,9.91,14.81,10000,0,322.25,36,123,1,1068075,B17
124,1/12/2011,1/12/2015,13650,12.42,24.09,13650,0,456.12,36,124,1,1065642,B14
125,1/12/2011,1/12/2015,28000,19.91,20.7,4281.54,3132.16,312.04,60,125,2,1068179,B14
126,1/12/2011,1/12/2015,18000,7.9,27.55,18000,0,563.23,36,126,1,1068158,B32
127,1/12/2011,1/12/2015,2500,14.27,10.33,2500,0,85.78,36,127,1,1068180,B6
128,1/12/2011,1/12/2015,21000,20.3,23.21,21000,0,559.89,60,128,1,1065673,B14
129,1/12/2011,1/12/2015,35000,8.9,22.71,35000,0,1111.37,36,129,2,1068159,B14
130,1/12/2011,1/12/2015,10000,7.51,9.75,10000,0,311.11,36,130,1,1068165,B14
131,1/12/2011,1/12/2015,7000,12.69,15.8,7000,0,234.82,36,131,1,1059689,B7
132,1/12/2011,1/12/2015,24000,15.96,9.17,3813.57,0,843.3,36,132,1,1066215,B2
133,1/12/2011,1/12/2015,10625,7.51,18.89,10625,0,330.56,36,133,1,1063270,B11
134,1/12/2011,1/12/2015,5000,14.65,18.3,5000,0,172.48,36,134,1,1067931,B10
135,1/12/2011,1/12/2015,8850,6.62,17.71,8850,0,271.73,36,135,1,1067922,B2
136,1/12/2011,1/12/2015,6375,7.51,4.8,6375,0,198.34,36,136,1,1067919,B2
137,1/12/2011,1/12/2015,6000,11.71,2.97,6000,0,198.46,36,137,1,1068106,B2
138,1/12/2011,1/12/2015,11100,6.62,29.85,6516.79,626.5,340.82,36,138,2,1068111,B2
139,1/12/2011,1/12/2015,10000,12.69,10.82,10000,0,225.95,60,139,2,1067655,B2
140,1/12/2011,1/12/2015,6200,6.03,18.2,6200,0,188.71,36,140,1,1060662,B2
141,1/12/2011,1/12/2015,15000,18.64,19.69,15000,0,547.12,36,141,1,1061304,B1
142,1/12/2011,1/12/2015,4200,11.71,16.91,4200,0,138.92,36,142,1,1068095,B2
143,1/12/2011,1/12/2015,14000,14.27,7.36,14000,0,480.33,36,143,1,1067182,B19
144,1/12/2011,1/12/2015,8875,7.51,23.53,8875,0,276.11,36,144,1,822464,B7
145,1/12/2011,1/12/2015,13500,9.91,12.38,13500,0,435.04,36,145,1,1063526,B27
146,1/12/2011,1/12/2015,12000,9.91,7.83,9011.72,414.89,386.7,36,146,1,1068091,B8
147,1/12/2011,1/12/2015,16000,19.91,15.8,16000,0,423.11,60,147,1,1068090,B24
148,1/12/2011,1/12/2015,21600,19.42,16.74,21600,0,565.32,60,148,1,1068082,B2
149,1/12/2011,1/12/2015,6000,10.65,12.86,6000,0,195.44,36,149,1,1068078,B2
150,1/12/2011,1/12/2015,8450,16.77,22.51,8450,0,208.97,60,150,1,1057633,B6
151,1/12/2011,1/12/2015,20000,13.49,17.68,20000,0,460.1,60,151,1,1046204,B9
152,1/12/2011,1/12/2015,10000,11.71,22.08,4293.91,319.46,330.76,36,152,1,1067794,B14
153,1/12/2011,1/12/2015,12000,16.29,18.18,12000,0,423.61,36,153,1,1067816,B12
154,1/12/2011,1/12/2015,13475,13.49,21.89,3516.74,0,309.99,60,154,1,1068018,B33
155,1/12/2011,1/12/2015,7200,12.42,17.43,7200,0,240.59,36,155,1,1052996,B34
156,1/12/2011,1/12/2015,5600,14.65,12.24,905.39,0,193.17,36,156,1,1067818,B2
157,1/12/2011,1/12/2015,12000,14.27,10.86,12000,0,411.71,36,157,1,1064842,B35
158,1/12/2011,1/12/2015,8500,6.03,1.73,8500,0,258.71,36,158,2,1067109,B2
159,1/12/2011,1/12/2015,8000,9.91,18.28,8000,0,257.8,36,159,1,1067971,B31
160,1/12/2011,1/12/2015,8000,12.42,15,8000,0,267.33,36,160,1,1057518,B2
161,1/12/2011,1/12/2015,16000,15.27,17.44,16000,0,382.92,60,161,1,1067473,B6
162,1/12/2011,1/12/2015,15000,17.27,3.59,15000,0,536.81,36,162,1,1062177,B2
163,1/12/2011,1/12/2015,10000,9.91,11.24,10000,0,322.25,36,163,1,1067447,B36
164,1/12/2011,1/12/2015,10000,6.62,16.78,10000,0,307.04,36,164,1,1059412,B1
165,1/12/2011,1/12/2015,8000,14.65,12.6,8000,0,275.96,36,165,1,1062608,B2
166,1/12/2011,1/12/2015,22000,9.91,13.22,22000,0,708.95,36,166,2,1067664,B1
167,1/12/2011,1/12/2015,6000,14.27,24.53,6000,0,205.86,36,167,1,1067441,B19
168,1/12/2011,1/12/2015,16000,9.91,9.39,12138.89,0,339.25,60,168,1,1067654,B11
169,1/12/2011,1/12/2015,2500,7.51,16.3,1575.06,10.08,77.78,36,169,1,1067644,B11
170,1/12/2011,1/12/2015,13500,9.91,22.93,13500,0,435.04,36,170,1,1062288,B2
171,1/12/2011,1/12/2015,25000,12.42,8.32,25000,0,835.39,36,171,1,1067434,B7
172,1/12/2011,1/12/2015,10000,13.49,24.97,10000,0,339.31,36,172,1,1067419,B2
173,1/12/2011,1/12/2015,2500,13.49,6.44,2500,0,84.83,36,173,2,1067601,B27
174,1/12/2011,1/12/2015,7325,12.69,22.57,7325,0,245.72,36,174,1,1067579,B32
175,1/12/2011,1/12/2015,4000,12.42,12.12,4000,0,133.67,36,175,1,1067563,B14
176,1/12/2011,1/12/2015,10000,13.49,6.92,6799.56,459.53,339.31,36,176,2,1067364,B1
177,1/12/2011,1/12/2015,7750,17.27,16.1,4935.39,11.91,277.36,36,177,1,1067152,B27
178,1/12/2011,1/12/2015,20000,20.89,16.63,1318.27,1073.61,539.84,60,178,1,1062471,B2
179,1/12/2011,1/12/2015,9600,12.42,11.65,9600,0,320.79,36,179,1,1066842,B35
180,1/12/2011,1/12/2015,21000,11.71,6.62,2142.87,0,464.07,60,180,1,1067126,B2
181,1/12/2011,1/12/2015,14000,10.65,15.52,14000,0,456.03,36,181,1,1067326,B2
182,1/12/2011,1/12/2015,13350,12.42,20.57,13350,0,446.1,36,182,1,1066789,B19
183,1/12/2011,1/12/2015,15000,16.77,19.63,8365.66,1084.71,533.08,36,183,2,1067324,B1
184,1/12/2011,1/12/2015,15000,17.27,16.03,6944.85,15.16,536.81,36,184,1,1067102,B1
185,1/12/2011,1/12/2015,11000,13.49,10.94,8158.5,0,253.06,60,185,1,1046969,B2
186,1/12/2011,1/12/2015,35000,10.65,3.17,35000,0,1140.07,36,186,2,1067084,B1
187,1/12/2011,1/12/2015,9000,10.65,8.89,9000,0,293.16,36,187,1,1067090,B14
188,1/12/2011,1/12/2015,22475,15.27,15.23,16512.33,0,537.87,60,188,1,1060875,B12
189,1/12/2011,1/12/2015,16000,12.69,20.64,9479.47,10.47,536.72,36,189,2,1067265,B20
190,1/12/2011,1/12/2015,13500,12.69,11.97,13500,0,452.86,36,190,1,1067287,B5
191,1/12/2011,1/12/2015,24000,12.69,11.6,24000,0,805.08,36,191,1,1067066,B2
192,1/12/2011,1/12/2015,12000,10.65,10.84,12000,0,390.88,36,192,2,1067283,B9
193,1/12/2011,1/12/2015,8400,16.77,11.35,6104.36,0,207.73,60,193,2,1067266,B21
194,1/12/2011,1/12/2015,28000,17.58,12.07,28000,0,704.64,60,194,1,1066635,B11
195,1/12/2011,1/12/2015,14000,6.62,11.15,14000,0,429.86,36,195,1,1067026,B14
196,1/12/2011,1/12/2015,12000,14.27,8.4,2534.26,543.42,411.71,36,196,2,1067038,B14
197,1/12/2011,1/12/2015,25000,11.71,6.88,25000,0,826.9,36,197,1,1067030,B30
198,1/12/2011,1/12/2015,9000,12.69,17.81,9000,0,301.91,36,198,2,1065350,B4
199,1/12/2011,1/12/2015,13250,10.65,24.93,13250,0,431.6,36,199,1,1067028,B2
200,1/12/2011,1/12/2015,20000,13.49,22.38,20000,0,678.61,36,200,1,1061877,B35
201,1/12/2011,1/12/2015,3000,14.65,21.84,3000,0,103.49,36,201,1,1067018,B22
202,1/12/2011,1/12/2015,7350,10.65,11.93,7350,0,239.42,36,202,1,1067223,B28
203,1/12/2011,1/12/2015,11500,15.27,21.1,11500,0,400.18,36,203,2,1067004,B2
204,1/12/2011,1/12/2015,13650,12.42,12.29,5810.73,460.64,456.12,36,204,1,1031265,B10
205,1/12/2011,1/12/2015,10500,16.29,15,1414.89,0,370.66,36,205,2,1066835,B1
206,1/12/2011,1/12/2015,12000,9.91,15.5,12000,0,386.7,36,206,1,1067181,B37
207,1/12/2011,1/12/2015,6000,8.9,14.51,6000,0,190.52,36,207,2,1067179,B2
208,1/12/2011,1/12/2015,11500,15.27,21.69,11500,0,400.18,36,208,2,1067172,B24
209,1/12/2011,1/12/2015,7000,12.42,12,7000,0,233.91,36,209,2,1066712,B1
210,1/12/2011,1/12/2015,29500,20.3,20.93,29500,0,786.51,60,210,1,1066706,B6
211,1/12/2011,1/12/2015,2000,15.27,17.74,2000,0,69.6,36,211,1,1066836,B38
212,1/12/2011,1/12/2015,11625,13.49,19.33,11625,0,394.45,36,212,1,1066826,B14
213,1/12/2011,1/12/2015,15075,14.27,20.16,11609.04,519.28,517.21,36,213,1,1063280,B2
214,1/12/2011,1/12/2015,5300,15.27,24.88,5300,0,184.43,36,214,1,1057447,B37
215,1/12/2011,1/12/2015,8200,6.62,11.1,8200,0,251.77,36,215,1,1040867,B11
216,1/12/2011,1/12/2015,12000,12.42,13.98,12000,0,400.99,36,216,1,1065232,B31
217,1/12/2011,1/12/2015,8650,14.27,7.6,8650,0,296.78,36,217,1,1052492,B33
218,1/12/2011,1/12/2015,21000,17.27,7.75,8549.22,0,294.98,60,218,2,1066664,B14
219,1/12/2011,1/12/2015,16000,17.27,11.04,11613.1,0,399.97,60,219,1,1066659,B9
220,1/12/2011,1/12/2015,12000,12.42,11.81,12000,0,400.99,36,220,1,1066763,B3
221,1/12/2011,1/12/2015,9500,12.69,23.54,5366.65,0,318.68,36,221,1,1066798,B14
222,1/12/2011,1/12/2015,7400,13.49,8.45,7400,0,251.09,36,222,1,1066639,B12
223,1/12/2011,1/12/2015,14400,13.49,16.92,14400,0,488.6,36,223,1,1066633,B2
224,1/12/2011,1/12/2015,24250,23.91,12.96,18100,0,519.76,60,224,1,1060644,B14
225,1/12/2011,1/12/2015,7200,7.9,7.98,6744.17,64.1,225.29,36,225,2,1066766,B1
226,1/12/2011,1/12/2015,26000,16.77,11.77,3946.3,1284.25,642.96,60,226,2,1066613,B19
227,1/12/2011,1/12/2015,7000,11.71,26.22,3452.36,883.68,154.69,60,227,2,1065648,B2
228,1/12/2011,1/12/2015,4000,7.51,18.17,4000,0,124.45,36,228,2,1066768,B20
229,1/12/2011,1/12/2015,1500,17.27,8.23,1500,0,53.69,36,229,2,1066617,B2
230,1/12/2011,1/12/2015,19600,12.42,11.62,19600,0,654.94,36,230,1,1062015,B39
231,1/12/2011,1/12/2015,2500,11.71,18.7,2500,0,82.69,36,231,1,1066598,B6
232,1/12/2011,1/12/2015,10000,12.69,2.69,4513.35,333.11,335.45,36,232,1,1066503,B31
233,1/12/2011,1/12/2015,10000,6.62,26.85,10000,0,307.04,36,233,1,1066530,B14
234,1/12/2011,1/12/2015,4225,12.42,17.61,4225,0,141.18,36,234,1,1066520,B20
235,1/12/2011,1/12/2015,3500,7.9,6.46,3500,0,109.52,36,235,1,1065929,B27
236,1/12/2011,1/12/2015,12000,6.62,13.65,12000,0,368.45,36,236,1,1066582,B14
237,1/12/2011,1/12/2015,16500,8.9,9.06,16500,0,523.93,36,237,1,1066348,B14
238,1/12/2011,1/12/2015,22000,21.67,15.62,22000.01,0,603.5,60,238,1,1061430,B1
239,1/12/2011,1/12/2015,12000,14.65,14.87,12000,0,413.94,36,239,1,1061519,B16
240,1/12/2011,1/12/2015,15600,12.69,5.78,11631.87,0,352.48,60,240,1,1066344,B3
241,1/12/2011,1/12/2015,10800,12.42,12.12,10800,0,360.89,36,241,1,1066480,B2
242,1/12/2011,1/12/2015,14000,12.42,7.35,14000,0,467.82,36,242,1,1066471,B14
243,1/12/2011,1/12/2015,18825,17.58,24.98,13625.93,0,473.75,60,243,2,1064063,B37
244,1/12/2011,1/12/2015,6000,13.49,15.58,6000,0,203.59,36,244,1,1066318,B11
245,1/12/2011,1/12/2015,12000,9.91,14.83,12000,0,386.7,36,245,1,1066453,B20
246,1/12/2011,1/12/2015,10000,12.42,10.45,10000,0,334.16,36,246,1,1063090,B20
247,1/12/2011,1/12/2015,8000,7.9,6.09,8000,0,250.33,36,247,1,1061406,B17
248,1/12/2011,1/12/2015,14125,9.91,23.13,14125,0,455.18,36,248,1,1066278,B12
249,1/12/2011,1/12/2015,14000,12.69,19.24,14000,0,469.63,36,249,1,1066281,B11
250,1/12/2011,1/12/2015,13200,17.27,9.64,8975,0,224.36,60,250,1,1056150,B14
251,1/12/2011,1/12/2015,4000,19.03,20.59,4000,0,146.69,36,251,1,1066434,B5
252,1/12/2011,1/12/2015,4000,12.69,6.86,1373.86,150.58,134.18,36,252,1,1048526,B36
253,1/12/2011,1/12/2015,10500,6.03,10.36,10500,0,319.58,36,253,1,1028566,B10
254,1/12/2011,1/12/2015,5500,7.9,6.65,5500,0,172.1,36,254,1,1066424,B4
255,1/12/2011,1/12/2015,7350,11.71,22.51,7350,0,243.11,36,255,2,1066212,B11
256,1/12/2011,1/12/2015,10000,12.42,18.31,9635.96,12.02,334.16,36,256,1,1066232,B28
257,1/12/2011,1/12/2015,12000,7.51,10.74,12000,0,373.33,36,257,1,1056219,B22
258,1/12/2011,1/12/2015,5000,11.71,23.78,5000,0,110.5,60,258,1,1066199,B11
259,1/12/2011,1/12/2015,8000,11.71,16.22,8000,0,176.79,60,259,1,1060851,B14
260,1/12/2011,1/12/2015,4500,8.9,23.43,4500,0,142.89,36,260,1,972383,B6
261,1/12/2011,1/12/2015,18000,12.42,12.51,18000,0,601.48,36,261,1,1066191,B12
262,1/12/2011,1/12/2015,12300,13.49,12.76,9125.24,0,282.96,60,262,1,1066173,B2
263,1/12/2011,1/12/2015,12000,13.49,15.72,12000,0,407.17,36,263,1,1066379,B2
264,1/12/2011,1/12/2015,10000,13.49,5.88,10000,0,339.31,36,264,1,1066364,B27
265,1/12/2011,1/12/2015,6000,7.9,8.87,6000,0,187.75,36,265,1,1066140,B2
266,1/12/2011,1/12/2015,12000,12.69,22.2,12000,0,402.54,36,266,1,1066171,B29
267,1/12/2011,1/12/2015,12000,8.9,9.13,8330.52,516.32,381.04,36,267,1,1066162,B1
268,1/12/2011,1/12/2015,7000,11.71,15.57,7000,0,231.54,36,268,1,1040154,B14
269,1/12/2011,1/12/2015,35000,18.64,12,26825,0,690.56,60,269,1,1066155,B32
270,1/12/2011,1/12/2015,1400,7.9,10,1400,0,43.81,36,270,1,1065382,B37
271,1/12/2011,1/12/2015,16000,13.49,16.22,5147.59,1517.32,368.08,60,271,1,1063447,B2
272,1/12/2011,1/12/2015,3200,9.91,2.16,3200,0,103.12,36,272,1,1065932,B39
273,1/12/2011,1/12/2015,8000,7.9,13.35,8000,0,250.33,36,273,1,1065936,B11
274,1/12/2011,1/12/2015,11875,12.69,23.75,285.76,651.01,268.32,60,274,1,1066112,B4
275,1/12/2011,1/12/2015,5000,6.03,3.82,5000,0,152.18,36,275,1,1066084,B2
276,1/12/2011,1/12/2015,1800,6.62,23.8,1800,0,55.27,36,276,1,1066081,B2
277,1/12/2011,1/12/2015,35000,8.9,17.73,35000,0,1111.37,36,277,1,1065896,B3
