LoanDetailsID,Year,Term,ApplicationType,LoanCondition
84,2011, 36 months,INDIVIDUAL,Good Loan
85,2011, 36 months,INDIVIDUAL,Good Loan
86,2011, 36 months,INDIVIDUAL,Good Loan
87,2011, 60 months,INDIVIDUAL,Good Loan
88,2011, 60 months,INDIVIDUAL,Good Loan
89,2011, 36 months,INDIVIDUAL,Good Loan
90,2011, 36 months,INDIVIDUAL,Good Loan
91,2011, 36 months,INDIVIDUAL,Good Loan
92,2011, 36 months,INDIVIDUAL,Good Loan
93,2011, 60 months,INDIVIDUAL,Good Loan
94,2011, 36 months,INDIVIDUAL,Good Loan
95,2011, 36 months,INDIVIDUAL,Good Loan
96,2011, 60 months,INDIVIDUAL,Good Loan
97,2011, 60 months,INDIVIDUAL,Good Loan
98,2011, 60 months,INDIVIDUAL,Bad Loan
99,2011, 36 months,INDIVIDUAL,Good Loan
100,2011, 60 months,INDIVIDUAL,Good Loan
101,2011, 36 months,INDIVIDUAL,Bad Loan
102,2011, 60 months,INDIVIDUAL,Good Loan
103,2011, 36 months,INDIVIDUAL,Good Loan
104,2011, 36 months,INDIVIDUAL,Good Loan
105,2011, 36 months,INDIVIDUAL,Good Loan
106,2011, 60 months,INDIVIDUAL,Bad Loan
107,2011, 36 months,INDIVIDUAL,Good Loan
108,2011, 36 months,INDIVIDUAL,Good Loan
109,2011, 36 months,INDIVIDUAL,Good Loan
110,2011, 36 months,INDIVIDUAL,Good Loan
111,2011, 36 months,INDIVIDUAL,Good Loan
112,2011, 36 months,INDIVIDUAL,Good Loan
113,2011, 60 months,INDIVIDUAL,Good Loan
114,2011, 36 months,INDIVIDUAL,Good Loan
115,2011, 36 months,INDIVIDUAL,Bad Loan
116,2011, 36 months,INDIVIDUAL,Good Loan
117,2011, 36 months,INDIVIDUAL,Good Loan
118,2011, 36 months,INDIVIDUAL,Good Loan
119,2011, 36 months,INDIVIDUAL,Good Loan
120,2011, 36 months,INDIVIDUAL,Good Loan
121,2011, 60 months,INDIVIDUAL,Bad Loan
122,2011, 36 months,INDIVIDUAL,Bad Loan
123,2011, 36 months,INDIVIDUAL,Good Loan
124,2011, 36 months,INDIVIDUAL,Good Loan
125,2011, 60 months,INDIVIDUAL,Bad Loan
126,2011, 36 months,INDIVIDUAL,Good Loan
127,2011, 36 months,INDIVIDUAL,Good Loan
128,2011, 60 months,INDIVIDUAL,Good Loan
129,2011, 36 months,INDIVIDUAL,Good Loan
130,2011, 36 months,INDIVIDUAL,Good Loan
131,2011, 36 months,INDIVIDUAL,Good Loan
132,2011, 36 months,INDIVIDUAL,Bad Loan
133,2011, 36 months,INDIVIDUAL,Good Loan
134,2011, 36 months,INDIVIDUAL,Good Loan
135,2011, 36 months,INDIVIDUAL,Good Loan
136,2011, 36 months,INDIVIDUAL,Good Loan
137,2011, 36 months,INDIVIDUAL,Good Loan
138,2011, 36 months,INDIVIDUAL,Bad Loan
139,2011, 60 months,INDIVIDUAL,Good Loan
140,2011, 36 months,INDIVIDUAL,Good Loan
141,2011, 36 months,INDIVIDUAL,Good Loan
142,2011, 36 months,INDIVIDUAL,Good Loan
143,2011, 36 months,INDIVIDUAL,Good Loan
144,2011, 36 months,INDIVIDUAL,Good Loan
145,2011, 36 months,INDIVIDUAL,Good Loan
146,2011, 36 months,INDIVIDUAL,Bad Loan
147,2011, 60 months,INDIVIDUAL,Good Loan
148,2011, 60 months,INDIVIDUAL,Good Loan
149,2011, 36 months,INDIVIDUAL,Good Loan
150,2011, 60 months,INDIVIDUAL,Good Loan
151,2011, 60 months,INDIVIDUAL,Good Loan
152,2011, 36 months,INDIVIDUAL,Bad Loan
153,2011, 36 months,INDIVIDUAL,Good Loan
154,2011, 60 months,INDIVIDUAL,Bad Loan
155,2011, 36 months,INDIVIDUAL,Good Loan
156,2011, 36 months,INDIVIDUAL,Bad Loan
157,2011, 36 months,INDIVIDUAL,Good Loan
158,2011, 36 months,INDIVIDUAL,Good Loan
159,2011, 36 months,INDIVIDUAL,Good Loan
160,2011, 36 months,INDIVIDUAL,Good Loan
161,2011, 60 months,INDIVIDUAL,Good Loan
162,2011, 36 months,INDIVIDUAL,Good Loan
163,2011, 36 months,INDIVIDUAL,Good Loan
164,2011, 36 months,INDIVIDUAL,Good Loan
165,2011, 36 months,INDIVIDUAL,Good Loan
166,2011, 36 months,INDIVIDUAL,Good Loan
167,2011, 36 months,INDIVIDUAL,Good Loan
168,2011, 60 months,INDIVIDUAL,Good Loan
169,2011, 36 months,INDIVIDUAL,Bad Loan
170,2011, 36 months,INDIVIDUAL,Good Loan
171,2011, 36 months,INDIVIDUAL,Good Loan
172,2011, 36 months,INDIVIDUAL,Good Loan
173,2011, 36 months,INDIVIDUAL,Good Loan
174,2011, 36 months,INDIVIDUAL,Good Loan
175,2011, 36 months,INDIVIDUAL,Good Loan
176,2011, 36 months,INDIVIDUAL,Bad Loan
177,2011, 36 months,INDIVIDUAL,Bad Loan
178,2011, 60 months,INDIVIDUAL,Bad Loan
179,2011, 36 months,INDIVIDUAL,Good Loan
180,2011, 60 months,INDIVIDUAL,Bad Loan
181,2011, 36 months,INDIVIDUAL,Good Loan
182,2011, 36 months,INDIVIDUAL,Good Loan
183,2011, 36 months,INDIVIDUAL,Bad Loan
184,2011, 36 months,INDIVIDUAL,Bad Loan
185,2011, 60 months,INDIVIDUAL,Good Loan
186,2011, 36 months,INDIVIDUAL,Good Loan
187,2011, 36 months,INDIVIDUAL,Good Loan
188,2011, 60 months,INDIVIDUAL,Good Loan
189,2011, 36 months,INDIVIDUAL,Bad Loan
190,2011, 36 months,INDIVIDUAL,Good Loan
191,2011, 36 months,INDIVIDUAL,Good Loan
192,2011, 36 months,INDIVIDUAL,Good Loan
193,2011, 60 months,INDIVIDUAL,Good Loan
194,2011, 60 months,INDIVIDUAL,Good Loan
195,2011, 36 months,INDIVIDUAL,Good Loan
196,2011, 36 months,INDIVIDUAL,Bad Loan
197,2011, 36 months,INDIVIDUAL,Good Loan
198,2011, 36 months,INDIVIDUAL,Good Loan
199,2011, 36 months,INDIVIDUAL,Good Loan
200,2011, 36 months,INDIVIDUAL,Good Loan
201,2011, 36 months,INDIVIDUAL,Good Loan
202,2011, 36 months,INDIVIDUAL,Good Loan
203,2011, 36 months,INDIVIDUAL,Good Loan
204,2011, 36 months,INDIVIDUAL,Bad Loan
205,2011, 36 months,INDIVIDUAL,Bad Loan
206,2011, 36 months,INDIVIDUAL,Good Loan
207,2011, 36 months,INDIVIDUAL,Good Loan
208,2011, 36 months,INDIVIDUAL,Good Loan
209,2011, 36 months,INDIVIDUAL,Good Loan
210,2011, 60 months,INDIVIDUAL,Good Loan
211,2011, 36 months,INDIVIDUAL,Good Loan
212,2011, 36 months,INDIVIDUAL,Good Loan
213,2011, 36 months,INDIVIDUAL,Bad Loan
214,2011, 36 months,INDIVIDUAL,Good Loan
215,2011, 36 months,INDIVIDUAL,Good Loan
216,2011, 36 months,INDIVIDUAL,Good Loan
217,2011, 36 months,INDIVIDUAL,Good Loan
218,2011, 60 months,INDIVIDUAL,Good Loan
219,2011, 60 months,INDIVIDUAL,Good Loan
220,2011, 36 months,INDIVIDUAL,Good Loan
221,2011, 36 months,INDIVIDUAL,Bad Loan
222,2011, 36 months,INDIVIDUAL,Good Loan
223,2011, 36 months,INDIVIDUAL,Good Loan
224,2011, 60 months,INDIVIDUAL,Good Loan
225,2011, 36 months,INDIVIDUAL,Bad Loan
226,2011, 60 months,INDIVIDUAL,Bad Loan
227,2011, 60 months,INDIVIDUAL,Bad Loan
228,2011, 36 months,INDIVIDUAL,Good Loan
229,2011, 36 months,INDIVIDUAL,Good Loan
230,2011, 36 months,INDIVIDUAL,Good Loan
231,2011, 36 months,INDIVIDUAL,Good Loan
232,2011, 36 months,INDIVIDUAL,Bad Loan
233,2011, 36 months,INDIVIDUAL,Good Loan
234,2011, 36 months,INDIVIDUAL,Good Loan
235,2011, 36 months,INDIVIDUAL,Good Loan
236,2011, 36 months,INDIVIDUAL,Good Loan
237,2011, 36 months,INDIVIDUAL,Good Loan
238,2011, 60 months,INDIVIDUAL,Good Loan
239,2011, 36 months,INDIVIDUAL,Good Loan
240,2011, 60 months,INDIVIDUAL,Good Loan
241,2011, 36 months,INDIVIDUAL,Good Loan
242,2011, 36 months,INDIVIDUAL,Good Loan
243,2011, 60 months,INDIVIDUAL,Good Loan
244,2011, 36 months,INDIVIDUAL,Good Loan
245,2011, 36 months,INDIVIDUAL,Good Loan
246,2011, 36 months,INDIVIDUAL,Good Loan
247,2011, 36 months,INDIVIDUAL,Good Loan
248,2011, 36 months,INDIVIDUAL,Good Loan
249,2011, 36 months,INDIVIDUAL,Good Loan
250,2011, 60 months,INDIVIDUAL,Good Loan
251,2011, 36 months,INDIVIDUAL,Good Loan
252,2011, 36 months,INDIVIDUAL,Bad Loan
253,2011, 36 months,INDIVIDUAL,Good Loan
254,2011, 36 months,INDIVIDUAL,Good Loan
255,2011, 36 months,INDIVIDUAL,Good Loan
256,2011, 36 months,INDIVIDUAL,Bad Loan
257,2011, 36 months,INDIVIDUAL,Good Loan
258,2011, 60 months,INDIVIDUAL,Good Loan
259,2011, 60 months,INDIVIDUAL,Good Loan
260,2011, 36 months,INDIVIDUAL,Good Loan
261,2011, 36 months,INDIVIDUAL,Good Loan
262,2011, 60 months,INDIVIDUAL,Good Loan
263,2011, 36 months,INDIVIDUAL,Good Loan
264,2011, 36 months,INDIVIDUAL,Good Loan
265,2011, 36 months,INDIVIDUAL,Good Loan
266,2011, 36 months,INDIVIDUAL,Good Loan
267,2011, 36 months,INDIVIDUAL,Bad Loan
268,2011, 36 months,INDIVIDUAL,Good Loan
269,2011, 60 months,INDIVIDUAL,Good Loan
270,2011, 36 months,INDIVIDUAL,Good Loan
271,2011, 60 months,INDIVIDUAL,Bad Loan
272,2011, 36 months,INDIVIDUAL,Good Loan
273,2011, 36 months,INDIVIDUAL,Good Loan
274,2011, 60 months,INDIVIDUAL,Bad Loan
275,2011, 36 months,INDIVIDUAL,Good Loan
276,2011, 36 months,INDIVIDUAL,Good Loan
277,2011, 36 months,INDIVIDUAL,Good Loan
278,2011, 36 months,INDIVIDUAL,Good Loan
279,2011, 36 months,INDIVIDUAL,Bad Loan
280,2011, 36 months,INDIVIDUAL,Good Loan
281,2011, 36 months,INDIVIDUAL,Good Loan
282,2011, 36 months,INDIVIDUAL,Good Loan
283,2011, 36 months,INDIVIDUAL,Good Loan
284,2011, 36 months,INDIVIDUAL,Good Loan
285,2011, 36 months,INDIVIDUAL,Good Loan
286,2011, 60 months,INDIVIDUAL,Good Loan
287,2011, 36 months,INDIVIDUAL,Good Loan
288,2011, 36 months,INDIVIDUAL,Good Loan
289,2011, 36 months,INDIVIDUAL,Good Loan
290,2011, 36 months,INDIVIDUAL,Good Loan
291,2011, 36 months,INDIVIDUAL,Good Loan
292,2011, 36 months,INDIVIDUAL,Good Loan
293,2011, 36 months,INDIVIDUAL,Good Loan
294,2011, 36 months,INDIVIDUAL,Good Loan
295,2011, 36 months,INDIVIDUAL,Good Loan
296,2011, 36 months,INDIVIDUAL,Good Loan
297,2011, 36 months,INDIVIDUAL,Good Loan
298,2011, 36 months,INDIVIDUAL,Good Loan
299,2011, 36 months,INDIVIDUAL,Good Loan
300,2011, 36 months,INDIVIDUAL,Bad Loan
301,2011, 60 months,INDIVIDUAL,Bad Loan
302,2011, 60 months,INDIVIDUAL,Bad Loan
303,2011, 36 months,INDIVIDUAL,Good Loan
304,2011, 36 months,INDIVIDUAL,Good Loan
305,2011, 60 months,INDIVIDUAL,Bad Loan
306,2011, 36 months,INDIVIDUAL,Good Loan
307,2011, 60 months,INDIVIDUAL,Good Loan
308,2011, 36 months,INDIVIDUAL,Good Loan
309,2011, 36 months,INDIVIDUAL,Good Loan
310,2011, 36 months,INDIVIDUAL,Good Loan
311,2011, 36 months,INDIVIDUAL,Good Loan
312,2011, 36 months,INDIVIDUAL,Good Loan
313,2011, 36 months,INDIVIDUAL,Good Loan
314,2011, 60 months,INDIVIDUAL,Bad Loan
315,2011, 60 months,INDIVIDUAL,Bad Loan
316,2011, 36 months,INDIVIDUAL,Good Loan
317,2011, 36 months,INDIVIDUAL,Good Loan
318,2011, 60 months,INDIVIDUAL,Bad Loan
319,2011, 60 months,INDIVIDUAL,Bad Loan
320,2011, 36 months,INDIVIDUAL,Good Loan
321,2011, 36 months,INDIVIDUAL,Good Loan
322,2011, 60 months,INDIVIDUAL,Good Loan
323,2011, 36 months,INDIVIDUAL,Good Loan
324,2011, 60 months,INDIVIDUAL,Good Loan
325,2011, 36 months,INDIVIDUAL,Bad Loan
326,2011, 36 months,INDIVIDUAL,Good Loan
327,2011, 60 months,INDIVIDUAL,Good Loan
328,2011, 60 months,INDIVIDUAL,Good Loan
329,2011, 36 months,INDIVIDUAL,Bad Loan
330,2011, 36 months,INDIVIDUAL,Good Loan
331,2011, 36 months,INDIVIDUAL,Good Loan
332,2011, 36 months,INDIVIDUAL,Good Loan
333,2011, 36 months,INDIVIDUAL,Good Loan
334,2011, 60 months,INDIVIDUAL,Good Loan
335,2011, 36 months,INDIVIDUAL,Good Loan
336,2011, 60 months,INDIVIDUAL,Good Loan
337,2011, 60 months,INDIVIDUAL,Good Loan
338,2011, 60 months,INDIVIDUAL,Good Loan
339,2011, 60 months,INDIVIDUAL,Good Loan
340,2011, 36 months,INDIVIDUAL,Bad Loan
341,2011, 36 months,INDIVIDUAL,Bad Loan
342,2011, 36 months,INDIVIDUAL,Good Loan
343,2011, 36 months,INDIVIDUAL,Good Loan
344,2011, 36 months,INDIVIDUAL,Good Loan
345,2011, 36 months,INDIVIDUAL,Bad Loan
346,2011, 36 months,INDIVIDUAL,Good Loan
347,2011, 36 months,INDIVIDUAL,Good Loan
348,2011, 60 months,INDIVIDUAL,Good Loan
349,2011, 36 months,INDIVIDUAL,Bad Loan
350,2011, 36 months,INDIVIDUAL,Good Loan
351,2011, 36 months,INDIVIDUAL,Good Loan
352,2011, 36 months,INDIVIDUAL,Good Loan
353,2011, 60 months,INDIVIDUAL,Good Loan
354,2011, 36 months,INDIVIDUAL,Good Loan
355,2011, 36 months,INDIVIDUAL,Good Loan
356,2011, 36 months,INDIVIDUAL,Good Loan
357,2011, 36 months,INDIVIDUAL,Bad Loan
358,2011, 60 months,INDIVIDUAL,Good Loan
359,2011, 36 months,INDIVIDUAL,Good Loan
360,2011, 36 months,INDIVIDUAL,Good Loan
361,2011, 36 months,INDIVIDUAL,Good Loan
362,2011, 60 months,INDIVIDUAL,Good Loan
363,2011, 60 months,INDIVIDUAL,Bad Loan
364,2011, 36 months,INDIVIDUAL,Good Loan
365,2011, 36 months,INDIVIDUAL,Good Loan
366,2011, 36 months,INDIVIDUAL,Bad Loan
367,2011, 36 months,INDIVIDUAL,Good Loan
368,2011, 60 months,INDIVIDUAL,Good Loan
369,2011, 36 months,INDIVIDUAL,Good Loan
370,2011, 36 months,INDIVIDUAL,Good Loan
371,2011, 36 months,INDIVIDUAL,Good Loan
372,2011, 36 months,INDIVIDUAL,Good Loan
373,2011, 36 months,INDIVIDUAL,Good Loan
374,2011, 36 months,INDIVIDUAL,Good Loan
375,2011, 36 months,INDIVIDUAL,Good Loan
376,2011, 60 months,INDIVIDUAL,Good Loan
377,2011, 36 months,INDIVIDUAL,Bad Loan
378,2011, 36 months,INDIVIDUAL,Good Loan
379,2011, 36 months,INDIVIDUAL,Good Loan
380,2011, 36 months,INDIVIDUAL,Good Loan
381,2011, 60 months,INDIVIDUAL,Bad Loan
382,2011, 36 months,INDIVIDUAL,Bad Loan
383,2011, 36 months,INDIVIDUAL,Good Loan
384,2011, 36 months,INDIVIDUAL,Good Loan
385,2011, 36 months,INDIVIDUAL,Good Loan
386,2011, 36 months,INDIVIDUAL,Good Loan
387,2011, 36 months,INDIVIDUAL,Good Loan
388,2011, 60 months,INDIVIDUAL,Good Loan
389,2011, 60 months,INDIVIDUAL,Bad Loan
390,2011, 60 months,INDIVIDUAL,Good Loan
391,2011, 36 months,INDIVIDUAL,Good Loan
392,2011, 60 months,INDIVIDUAL,Good Loan
393,2011, 36 months,INDIVIDUAL,Good Loan
394,2011, 36 months,INDIVIDUAL,Good Loan
395,2011, 36 months,INDIVIDUAL,Good Loan
396,2011, 36 months,INDIVIDUAL,Good Loan
397,2011, 36 months,INDIVIDUAL,Good Loan
398,2011, 36 months,INDIVIDUAL,Good Loan
399,2011, 60 months,INDIVIDUAL,Good Loan
400,2011, 36 months,INDIVIDUAL,Good Loan
401,2011, 36 months,INDIVIDUAL,Good Loan
402,2011, 36 months,INDIVIDUAL,Good Loan
403,2011, 36 months,INDIVIDUAL,Good Loan
404,2011, 60 months,INDIVIDUAL,Good Loan
405,2011, 36 months,INDIVIDUAL,Good Loan
406,2011, 36 months,INDIVIDUAL,Good Loan
407,2011, 36 months,INDIVIDUAL,Good Loan
408,2011, 36 months,INDIVIDUAL,Good Loan
409,2011, 60 months,INDIVIDUAL,Good Loan
410,2011, 36 months,INDIVIDUAL,Good Loan
411,2011, 36 months,INDIVIDUAL,Good Loan
412,2011, 36 months,INDIVIDUAL,Good Loan
413,2011, 36 months,INDIVIDUAL,Bad Loan
414,2011, 36 months,INDIVIDUAL,Good Loan
415,2011, 60 months,INDIVIDUAL,Bad Loan
416,2011, 36 months,INDIVIDUAL,Good Loan
417,2011, 36 months,INDIVIDUAL,Good Loan
418,2011, 60 months,INDIVIDUAL,Good Loan
419,2011, 36 months,INDIVIDUAL,Good Loan
420,2011, 36 months,INDIVIDUAL,Good Loan
421,2011, 36 months,INDIVIDUAL,Good Loan
422,2011, 36 months,INDIVIDUAL,Good Loan
423,2011, 36 months,INDIVIDUAL,Bad Loan
424,2011, 36 months,INDIVIDUAL,Good Loan
425,2011, 36 months,INDIVIDUAL,Bad Loan
426,2011, 60 months,INDIVIDUAL,Good Loan
427,2011, 36 months,INDIVIDUAL,Good Loan
428,2011, 36 months,INDIVIDUAL,Good Loan
429,2011, 36 months,INDIVIDUAL,Good Loan
430,2011, 60 months,INDIVIDUAL,Good Loan
431,2011, 60 months,INDIVIDUAL,Bad Loan
432,2011, 60 months,INDIVIDUAL,Good Loan
433,2011, 36 months,INDIVIDUAL,Good Loan
434,2011, 60 months,INDIVIDUAL,Bad Loan
435,2011, 36 months,INDIVIDUAL,Good Loan
436,2011, 60 months,INDIVIDUAL,Bad Loan
437,2011, 60 months,INDIVIDUAL,Good Loan
438,2011, 36 months,INDIVIDUAL,Good Loan
439,2011, 36 months,INDIVIDUAL,Good Loan
440,2011, 36 months,INDIVIDUAL,Good Loan
441,2011, 36 months,INDIVIDUAL,Good Loan
442,2011, 36 months,INDIVIDUAL,Good Loan
443,2011, 36 months,INDIVIDUAL,Good Loan
444,2011, 36 months,INDIVIDUAL,Good Loan
445,2011, 36 months,INDIVIDUAL,Good Loan
446,2011, 36 months,INDIVIDUAL,Good Loan
447,2011, 36 months,INDIVIDUAL,Good Loan
448,2011, 36 months,INDIVIDUAL,Good Loan
449,2011, 60 months,INDIVIDUAL,Good Loan
450,2011, 36 months,INDIVIDUAL,Good Loan
451,2011, 36 months,INDIVIDUAL,Good Loan
452,2011, 36 months,INDIVIDUAL,Good Loan
453,2011, 36 months,INDIVIDUAL,Good Loan
454,2011, 60 months,INDIVIDUAL,Good Loan
455,2011, 36 months,INDIVIDUAL,Good Loan
456,2011, 36 months,INDIVIDUAL,Good Loan
457,2011, 36 months,INDIVIDUAL,Good Loan
458,2011, 36 months,INDIVIDUAL,Good Loan
459,2011, 36 months,INDIVIDUAL,Bad Loan
460,2011, 36 months,INDIVIDUAL,Good Loan
461,2011, 36 months,INDIVIDUAL,Good Loan
462,2011, 36 months,INDIVIDUAL,Good Loan
463,2011, 60 months,INDIVIDUAL,Bad Loan
464,2011, 36 months,INDIVIDUAL,Good Loan
465,2011, 36 months,INDIVIDUAL,Bad Loan
466,2011, 36 months,INDIVIDUAL,Good Loan
467,2011, 36 months,INDIVIDUAL,Bad Loan
468,2011, 60 months,INDIVIDUAL,Good Loan
469,2011, 36 months,INDIVIDUAL,Good Loan
470,2011, 60 months,INDIVIDUAL,Good Loan
471,2011, 36 months,INDIVIDUAL,Good Loan
472,2011, 36 months,INDIVIDUAL,Good Loan
473,2011, 60 months,INDIVIDUAL,Good Loan
474,2011, 36 months,INDIVIDUAL,Good Loan
475,2011, 60 months,INDIVIDUAL,Good Loan
476,2011, 60 months,INDIVIDUAL,Good Loan
477,2011, 36 months,INDIVIDUAL,Bad Loan
478,2011, 36 months,INDIVIDUAL,Good Loan
479,2011, 36 months,INDIVIDUAL,Good Loan
480,2011, 60 months,INDIVIDUAL,Good Loan
481,2011, 36 months,INDIVIDUAL,Bad Loan
482,2011, 36 months,INDIVIDUAL,Good Loan
483,2011, 36 months,INDIVIDUAL,Good Loan
484,2011, 36 months,INDIVIDUAL,Good Loan
485,2011, 36 months,INDIVIDUAL,Bad Loan
486,2011, 60 months,INDIVIDUAL,Good Loan
487,2011, 60 months,INDIVIDUAL,Good Loan
488,2011, 36 months,INDIVIDUAL,Good Loan
489,2011, 60 months,INDIVIDUAL,Good Loan
490,2011, 60 months,INDIVIDUAL,Bad Loan
491,2011, 36 months,INDIVIDUAL,Good Loan
492,2011, 60 months,INDIVIDUAL,Good Loan
493,2011, 60 months,INDIVIDUAL,Good Loan
494,2011, 36 months,INDIVIDUAL,Good Loan
495,2011, 36 months,INDIVIDUAL,Good Loan
496,2011, 60 months,INDIVIDUAL,Good Loan
497,2011, 60 months,INDIVIDUAL,Bad Loan
498,2011, 36 months,INDIVIDUAL,Good Loan
499,2011, 36 months,INDIVIDUAL,Good Loan
500,2011, 60 months,INDIVIDUAL,Good Loan
501,2011, 36 months,INDIVIDUAL,Good Loan
502,2011, 36 months,INDIVIDUAL,Good Loan
503,2011, 36 months,INDIVIDUAL,Good Loan
504,2011, 36 months,INDIVIDUAL,Good Loan
505,2011, 36 months,INDIVIDUAL,Good Loan
506,2011, 60 months,INDIVIDUAL,Bad Loan
507,2011, 60 months,INDIVIDUAL,Good Loan
508,2011, 36 months,INDIVIDUAL,Good Loan
509,2011, 36 months,INDIVIDUAL,Good Loan
510,2011, 36 months,INDIVIDUAL,Good Loan
511,2011, 60 months,INDIVIDUAL,Good Loan
512,2011, 36 months,INDIVIDUAL,Good Loan
513,2011, 60 months,INDIVIDUAL,Good Loan
514,2011, 36 months,INDIVIDUAL,Good Loan
515,2011, 36 months,INDIVIDUAL,Bad Loan
516,2011, 36 months,INDIVIDUAL,Good Loan
517,2011, 60 months,INDIVIDUAL,Good Loan
518,2011, 36 months,INDIVIDUAL,Good Loan
519,2011, 36 months,INDIVIDUAL,Good Loan
520,2011, 60 months,INDIVIDUAL,Good Loan
521,2011, 60 months,INDIVIDUAL,Good Loan
522,2011, 36 months,INDIVIDUAL,Good Loan
523,2011, 60 months,INDIVIDUAL,Good Loan
524,2011, 36 months,INDIVIDUAL,Bad Loan
525,2011, 60 months,INDIVIDUAL,Good Loan
526,2011, 36 months,INDIVIDUAL,Good Loan
527,2011, 36 months,INDIVIDUAL,Bad Loan
528,2011, 36 months,INDIVIDUAL,Good Loan
529,2011, 36 months,INDIVIDUAL,Good Loan
530,2011, 36 months,INDIVIDUAL,Good Loan
531,2011, 36 months,INDIVIDUAL,Good Loan
532,2011, 60 months,INDIVIDUAL,Good Loan
